"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa6f1173335842c353ee","Phú Bình","huyen","phu-binh","Huyện Phú Bình","Phú Bình, Thái Nguyên","Huyện Phú Bình, Tỉnh Thái Nguyên","173","19","False"
"60eaaa6f1173335842c353ef","Lạng Sơn","thanh-pho","lang-son","Thành phố Lạng Sơn","Lạng Sơn, Lạng Sơn","Thành phố Lạng Sơn, Tỉnh Lạng Sơn","178","20","False"
"60eaaa6f1173335842c353f0","Tràng Định","huyen","trang-dinh","Huyện Tràng Định","Tràng Định, Lạng Sơn","Huyện Tràng Định, Tỉnh Lạng Sơn","180","20","False"
"60eaaa6f1173335842c353f1","Bình Gia","huyen","binh-gia","Huyện Bình Gia","Bình Gia, Lạng Sơn","Huyện Bình Gia, Tỉnh Lạng Sơn","181","20","False"
"60eaaa6f1173335842c353f2","Văn Lãng","huyen","van-lang","Huyện Văn Lãng","Văn Lãng, Lạng Sơn","Huyện Văn Lãng, Tỉnh Lạng Sơn","182","20","False"
"60eaaa6f1173335842c353f3","Cao Lộc","huyen","cao-loc","Huyện Cao Lộc","Cao Lộc, Lạng Sơn","Huyện Cao Lộc, Tỉnh Lạng Sơn","183","20","False"
"60eaaa6f1173335842c353f4","Văn Quan","huyen","van-quan","Huyện Văn Quan","Văn Quan, Lạng Sơn","Huyện Văn Quan, Tỉnh Lạng Sơn","184","20","False"
"60eaaa6f1173335842c353f5","Bắc Sơn","huyen","bac-son","Huyện Bắc Sơn","Bắc Sơn, Lạng Sơn","Huyện Bắc Sơn, Tỉnh Lạng Sơn","185","20","False"
"60eaaa6f1173335842c353f6","Hữu Lũng","huyen","huu-lung","Huyện Hữu Lũng","Hữu Lũng, Lạng Sơn","Huyện Hữu Lũng, Tỉnh Lạng Sơn","186","20","False"
"60eaaa6f1173335842c353f7","Chi Lăng","huyen","chi-lang","Huyện Chi Lăng","Chi Lăng, Lạng Sơn","Huyện Chi Lăng, Tỉnh Lạng Sơn","187","20","False"
"60eaaa6f1173335842c353f8","Lộc Bình","huyen","loc-binh","Huyện Lộc Bình","Lộc Bình, Lạng Sơn","Huyện Lộc Bình, Tỉnh Lạng Sơn","188","20","False"
"60eaaa6f1173335842c353f9","Đình Lập","huyen","dinh-lap","Huyện Đình Lập","Đình Lập, Lạng Sơn","Huyện Đình Lập, Tỉnh Lạng Sơn","189","20","False"
"60eaaa6f1173335842c353fa","Hạ Long","thanh-pho","ha-long","Thành phố Hạ Long","Hạ Long, Quảng Ninh","Thành phố Hạ Long, Tỉnh Quảng Ninh","193","22","False"
"60eaaa6f1173335842c353fb","Móng Cái","thanh-pho","mong-cai","Thành phố Móng Cái","Móng Cái, Quảng Ninh","Thành phố Móng Cái, Tỉnh Quảng Ninh","194","22","False"
"60eaaa6f1173335842c353fc","Cẩm Phả","thanh-pho","cam-pha","Thành phố Cẩm Phả","Cẩm Phả, Quảng Ninh","Thành phố Cẩm Phả, Tỉnh Quảng Ninh","195","22","False"
"60eaaa6f1173335842c353fd","Uông Bí","thanh-pho","uong-bi","Thành phố Uông Bí","Uông Bí, Quảng Ninh","Thành phố Uông Bí, Tỉnh Quảng Ninh","196","22","False"
"60eaaa6f1173335842c353fe","Bình Liêu","huyen","binh-lieu","Huyện Bình Liêu","Bình Liêu, Quảng Ninh","Huyện Bình Liêu, Tỉnh Quảng Ninh","198","22","False"
"60eaaa6f1173335842c353ff","Tiên Yên","huyen","tien-yen","Huyện Tiên Yên","Tiên Yên, Quảng Ninh","Huyện Tiên Yên, Tỉnh Quảng Ninh","199","22","False"
"60eaaa6f1173335842c35400","Đầm Hà","huyen","dam-ha","Huyện Đầm Hà","Đầm Hà, Quảng Ninh","Huyện Đầm Hà, Tỉnh Quảng Ninh","200","22","False"
"60eaaa6f1173335842c35401","Hải Hà","huyen","hai-ha","Huyện Hải Hà","Hải Hà, Quảng Ninh","Huyện Hải Hà, Tỉnh Quảng Ninh","201","22","False"
"60eaaa6f1173335842c35402","Ba Chẽ","huyen","ba-che","Huyện Ba Chẽ","Ba Chẽ, Quảng Ninh","Huyện Ba Chẽ, Tỉnh Quảng Ninh","202","22","False"
"60eaaa6f1173335842c35403","Vân Đồn","huyen","van-don","Huyện Vân Đồn","Vân Đồn, Quảng Ninh","Huyện Vân Đồn, Tỉnh Quảng Ninh","203","22","False"
"60eaaa6f1173335842c35404","Đông Triều","thi-xa","dong-trieu","Thị xã Đông Triều","Đông Triều, Quảng Ninh","Thị xã Đông Triều, Tỉnh Quảng Ninh","205","22","False"
