"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa6e1173335842c352f4","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Ân Thi, Hưng Yên","Xã Tiền Phong, Huyện Ân Thi, Tỉnh Hưng Yên","12193","329","False"
"60eaaa6e1173335842c35345","Tiền Phong","phuong","tien-phong","Phường Tiền Phong","Tiền Phong, Thái Bình, Thái Bình","Phường Tiền Phong, Thành phố Thái Bình, Tỉnh Thái Bình","12451","336","False"
"60eaaa6e1173335842c34e1e","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Quảng Yên, Quảng Ninh","Xã Tiền Phong, Thị xã Quảng Yên, Tỉnh Quảng Ninh","07189","206","False"
"60eaaa6e1173335842c34ebd","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Yên Dũng, Bắc Giang","Xã Tiền Phong, Huyện Yên Dũng, Tỉnh Bắc Giang","07711","221","False"
"60eaaa6e1173335842c34b82","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Đà Bắc, Hoà Bình","Xã Tiền Phong, Huyện Đà Bắc, Tỉnh Hoà Bình","04888","150","False"
"60eaaa701173335842c35b7d","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Quế Phong, Nghệ An","Xã Tiền Phong, Huyện Quế Phong, Tỉnh Nghệ An","16750","415","False"
"60eaaa6e1173335842c34f56","Tiên Phú","xa","tien-phu","Xã Tiên Phú","Tiên Phú, Phù Ninh, Phú Thọ","Xã Tiên Phú, Huyện Phù Ninh, Tỉnh Phú Thọ","08248","233","False"
"60eaaa6e1173335842c3456f","Tiên Phương","xa","tien-phuong","Xã Tiên Phương","Tiên Phương, Chương Mỹ, Hà Nội","Xã Tiên Phương, Huyện Chương Mỹ, Thành phố Hà Nội","10024","277","False"
"60eaaa6e1173335842c34ed2","Tiên Sơn","xa","tien-son","Xã Tiên Sơn","Tiên Sơn, Việt Yên, Bắc Giang","Xã Tiên Sơn, Huyện Việt Yên, Tỉnh Bắc Giang","07786","222","False"
"60eaaa701173335842c35767","Tiên Sơn","xa","tien-son","Xã Tiên Sơn","Tiên Sơn, Duy Tiên, Hà Nam","Xã Tiên Sơn, Thị xã Duy Tiên, Tỉnh Hà Nam","13369","349","False"
"60eaaa721173335842c36077","Tiên Sơn","xa","tien-son","Xã Tiên Sơn","Tiên Sơn, Tiên Phước, Quảng Nam","Xã Tiên Sơn, Huyện Tiên Phước, Tỉnh Quảng Nam","20857","514","False"
"60eaaa701173335842c3574f","Tiên Tân","xa","tien-tan","Xã Tiên Tân","Tiên Tân, Phủ Lý, Hà Nam","Xã Tiên Tân, Thành phố Phủ Lý, Tỉnh Hà Nam","13366","347","False"
"60eaaa6e1173335842c35265","Tiên Thanh","xa","tien-thanh","Xã Tiên Thanh","Tiên Thanh, Tiên Lãng, Hải Phòng","Xã Tiên Thanh, Huyện Tiên Lãng, Thành phố Hải Phòng","11776","315","False"
"60eaaa6e1173335842c3473d","Tiên Thành","xa","tien-thanh","Xã Tiên Thành","Tiên Thành, Quảng Hòa, Cao Bằng","Xã Tiên Thành, Huyện Quảng Hòa, Tỉnh Cao Bằng","01645","049","False"
"60eaaa701173335842c35c64","Tiến Thành","xa","tien-thanh","Xã Tiến Thành","Tiến Thành, Yên Thành, Nghệ An","Xã Tiến Thành, Huyện Yên Thành, Tỉnh Nghệ An","17510","426","False"
"60eaaa721173335842c3669c","Tiến Thành","phuong","tien-thanh","Phường Tiến Thành","Tiến Thành, Đồng Xoài, Bình Phước","Phường Tiến Thành, Thành phố Đồng Xoài, Tỉnh Bình Phước","25210","689","False"
"60eaaa721173335842c36355","Tiến Thành","xa","tien-thanh","Xã Tiến Thành","Tiến Thành, Phan Thiết, Bình Thuận","Xã Tiến Thành, Thành phố Phan Thiết, Tỉnh Bình Thuận","22966","593","False"
"60eaaa6e1173335842c3526c","Tiên Thắng","xa","tien-thang","Xã Tiên Thắng","Tiên Thắng, Tiên Lãng, Hải Phòng","Xã Tiên Thắng, Huyện Tiên Lãng, Thành phố Hải Phòng","11797","315","False"
"60eaaa6e1173335842c344ba","Tiến Thắng","xa","tien-thang","Xã Tiến Thắng","Tiến Thắng, Mê Linh, Hà Nội","Xã Tiến Thắng, Huyện Mê Linh, Thành phố Hà Nội","08983","250","False"
"60eaaa6e1173335842c34e3a","Tiến Thắng","xa","tien-thang","Xã Tiến Thắng","Tiến Thắng, Yên Thế, Bắc Giang","Xã Tiến Thắng, Huyện Yên Thế, Tỉnh Bắc Giang","07264","215","False"
"60eaaa701173335842c357ae","Tiến Thắng","xa","tien-thang","Xã Tiến Thắng","Tiến Thắng, Lý Nhân, Hà Nam","Xã Tiến Thắng, Huyện Lý Nhân, Tỉnh Hà Nam","13627","353","False"
"60eaaa6e1173335842c344c2","Tiến Thịnh","xa","tien-thinh","Xã Tiến Thịnh","Tiến Thịnh, Mê Linh, Hà Nội","Xã Tiến Thịnh, Huyện Mê Linh, Thành phố Hà Nội","09007","250","False"
"60eaaa721173335842c36081","Tiên Thọ","xa","tien-tho","Xã Tiên Thọ","Tiên Thọ, Tiên Phước, Quảng Nam","Xã Tiên Thọ, Huyện Tiên Phước, Tỉnh Quảng Nam","20887","514","False"
"60eaaa721173335842c3674d","Tiên Thuận","xa","tien-thuan","Xã Tiên Thuận","Tiên Thuận, Bến Cầu, Tây Ninh","Xã Tiên Thuận, Huyện Bến Cầu, Tỉnh Tây Ninh","25693","711","False"
"60eaaa721173335842c36b74","Tiên Thủy","xa","tien-thuy","Xã Tiên Thủy","Tiên Thủy, Châu Thành, Bến Tre","Xã Tiên Thủy, Huyện Châu Thành, Tỉnh Bến Tre","28861","831","False"
"60eaaa701173335842c35bff","Tiến Thủy","xa","tien-thuy","Xã Tiến Thủy","Tiến Thủy, Quỳnh Lưu, Nghệ An","Xã Tiến Thủy, Huyện Quỳnh Lưu, Tỉnh Nghệ An","17209","421","False"
"60eaaa6e1173335842c350ed","Tiền Tiến","xa","tien-tien","Xã Tiền Tiến","Tiền Tiến, Hải Dương, Hải Dương","Xã Tiền Tiến, Thành phố Hải Dương, Tỉnh Hải Dương","10837","288","False"
"60eaaa6e1173335842c3533a","Tiền Tiến","xa","tien-tien","Xã Tiền Tiến","Tiền Tiến, Phù Cừ, Hưng Yên","Xã Tiền Tiến, Huyện Phù Cừ, Tỉnh Hưng Yên","12418","333","False"
"60eaaa701173335842c35b2d","Tiên Trang","xa","tien-trang","Xã Tiên Trang","Tiên Trang, Quảng Xương, Thanh Hóa","Xã Tiên Trang, Huyện Quảng Xương, Tỉnh Thanh Hóa","16549","406","False"
"60eaaa6e1173335842c34557","Tiến Xuân","xa","tien-xuan","Xã Tiến Xuân","Tiến Xuân, Thạch Thất, Hà Nội","Xã Tiến Xuân, Huyện Thạch Thất, Thành phố Hà Nội","04936","276","False"
"60eaaa6e1173335842c346cb","Tiên Yên","xa","tien-yen","Xã Tiên Yên","Tiên Yên, Quang Bình, Hà Giang","Xã Tiên Yên, Huyện Quang Bình, Tỉnh Hà Giang","01261","035","False"
"60eaaa6e1173335842c34dc4","Tiên Yên","thi-tran","tien-yen","Thị trấn Tiên Yên","Tiên Yên, Tiên Yên, Quảng Ninh","Thị trấn Tiên Yên, Huyện Tiên Yên, Tỉnh Quảng Ninh","06862","199","False"
"60eaaa6e1173335842c34539","Tiền Yên","xa","tien-yen","Xã Tiền Yên","Tiền Yên, Hoài Đức, Hà Nội","Xã Tiền Yên, Huyện Hoài Đức, Thành phố Hà Nội","09871","274","False"
"60eaaa721173335842c36c13","Tiểu Cần","thi-tran","tieu-can","Thị trấn Tiểu Cần","Tiểu Cần, Tiểu Cần, Trà Vinh","Thị trấn Tiểu Cần, Huyện Tiểu Cần, Tỉnh Trà Vinh","29341","846","False"
"60eaaa701173335842c35799","Tiêu Động","xa","tieu-dong","Xã Tiêu Động","Tiêu Động, Bình Lục, Hà Nam","Xã Tiêu Động, Huyện Bình Lục, Tỉnh Hà Nam","13558","352","False"
"60eaaa6e1173335842c34f23","Tiêu Sơn","xa","tieu-son","Xã Tiêu Sơn","Tiêu Sơn, Đoan Hùng, Phú Thọ","Xã Tiêu Sơn, Huyện Đoan Hùng, Tỉnh Phú Thọ","08038","230","False"
"60eaaa721173335842c360d1","Tịnh An","xa","tinh-an","Xã Tịnh An","Tịnh An, Quảng Ngãi, Quảng Ngãi","Xã Tịnh An, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21232","522","False"
"60eaaa721173335842c360cc","Tịnh Ấn Đông","xa","tinh-an-dong","Xã Tịnh Ấn Đông","Tịnh Ấn Đông, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Ấn Đông, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21202","522","False"
"60eaaa721173335842c360d0","Tịnh Ấn Tây","xa","tinh-an-tay","Xã Tịnh Ấn Tây","Tịnh Ấn Tây, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Ấn Tây, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21223","522","False"
"60eaaa6e1173335842c34d5b","Tĩnh Bắc","xa","tinh-bac","Xã Tĩnh Bắc","Tĩnh Bắc, Lộc Bình, Lạng Sơn","Xã Tĩnh Bắc, Huyện Lộc Bình, Tỉnh Lạng Sơn","06574","188","False"
"60eaaa721173335842c36101","Tịnh Bắc","xa","tinh-bac","Xã Tịnh Bắc","Tịnh Bắc, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Bắc, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21205","527","False"
"60eaaa721173335842c36da9","Tịnh Biên","thi-tran","tinh-bien","Thị trấn Tịnh Biên","Tịnh Biên, Tịnh Biên, An Giang","Thị trấn Tịnh Biên, Huyện Tịnh Biên, Tỉnh An Giang","30520","890","False"
"60eaaa721173335842c360ff","Tịnh Bình","xa","tinh-binh","Xã Tịnh Bình","Tịnh Bình, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Bình, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21193","527","False"
